dname,num_schools_in_district_sat,enroll12_mean_sat,pctmathbenchmark12_mean_sat,num_schools_in_district_act,enroll12_mean_act,avgscrmath_mean_act
Los Alamitos Unified,2,758.5,0.7334999999999999,2.0,758.5,26.0
Los Angeles County Office of Education,9,208.66666666666666,0.33318888888888887,4.0,403.25,20.0
Los Angeles Unified,181,439.91160220994476,0.25023922651933705,135.0,544.0296296296297,18.525925925925925
Los Banos Unified,3,512.0,0.31626666666666664,3.0,512.0,19.333333333333332
Los Gatos-Saratoga Joint Union High,3,578.3333333333334,0.922,3.0,578.3333333333334,29.333333333333332
Lucia Mar Unified,4,413.75,0.5826749999999999,3.0,531.3333333333334,21.666666666666668
Lynwood Unified,3,634.0,0.20210000000000003,3.0,634.0,17.0
Madera Unified,3,794.6666666666666,0.2779,3.0,794.6666666666666,18.0
Mammoth Unified,2,102.5,0.5769,2.0,102.5,23.0
Manhattan Beach Unified,2,602.0,0.8732,2.0,602.0,27.0
Manteca Unified,6,604.6666666666666,0.3848833333333333,5.0,668.6,21.8
Mariposa County Unified,2,141.5,0.75,2.0,141.5,23.0
Martinez Unified,2,316.5,0.75475,2.0,316.5,24.5
Marysville Joint Unified,4,261.25,0.48605000000000004,3.0,329.6666666666667,19.333333333333332
McFarland Unified,2,206.0,0.1061,2.0,206.0,19.0
Mendota Unified,2,228.5,0.1594,2.0,228.5,17.0
Menifee Union Elementary,2,113.0,0.5385,2.0,113.0,23.0
Merced Union High,7,703.4285714285714,0.35138571428571425,7.0,703.4285714285714,18.714285714285715
Milpitas Unified,2,795.5,0.7731,2.0,795.5,27.0
Modesto City High,8,911.5,0.4220125,7.0,921.8571428571429,21.285714285714285
Mojave Unified,2,125.0,0.33985,2.0,89.5,16.0
Monrovia Unified,2,433.0,0.44145,2.0,433.0,19.0
Montebello Unified,5,871.2,0.32955999999999996,5.0,871.2,18.2
Monterey Peninsula Unified,4,405.75,0.36995,3.0,492.6666666666667,21.333333333333332
Moorpark Unified,2,481.0,0.72365,2.0,481.0,24.5
Moreno Valley Unified,8,618.75,0.1134,5.0,912.0,19.8
Morgan Hill Unified,3,396.3333333333333,0.6839666666666666,3.0,396.3333333333333,23.666666666666668
Morongo Unified,3,350.3333333333333,0.4583,1.0,565.0,25.0
Mountain Empire Unified,2,213.0,0.396,1.0,342.0,21.0
Mountain View-Los Altos Union High,3,691.0,0.8151666666666667,3.0,691.0,27.666666666666668
Mt. Diablo Unified,6,641.1666666666666,0.5792166666666666,6.0,641.1666666666666,23.333333333333332
Murrieta Valley Unified,4,1049.5,0.5548,4.0,1049.5,22.0
Napa Valley Unified,5,570.0,0.50898,4.0,688.25,22.25
Natomas Unified,6,363.8333333333333,0.3893,6.0,363.8333333333333,18.833333333333332
Nevada Joint Union High,4,306.5,0.7828,3.0,393.6666666666667,24.333333333333332
New Haven Unified,2,964.0,0.62705,2.0,964.0,24.0
Newark Unified,2,428.5,0.4681,2.0,428.5,22.0
Newman-Crows Landing Unified,2,221.5,0.34850000000000003,2.0,221.5,23.0
Newport-Mesa Unified,6,580.6666666666666,0.5648833333333333,6.0,580.6666666666666,23.0
North Monterey County Unified,2,333.0,0.27149999999999996,2.0,333.0,18.0
Northern Humboldt Union High,3,259.0,0.6946666666666667,2.0,317.0,25.0
Norwalk-La Mirada Unified,5,559.8,0.17994,4.0,659.5,18.25
